run_id,call_id,batch_id,provider,model,temperature,timestamp_utc,prompt_id,prompt_hash,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,task_id,task_name,repeat_id,sample_in_call,input_tokens,output_tokens,total_tokens,range_valid,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,,,,
deepseek_ia_strict_20260603T045355Z,35048661-6d3b-495f-8646-a2fc0876336d,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:05.556574+00:00,IA_individual_plus_label_S0001_nback,c07dfa915a36,individual_prediction,,,,,,,,,nback,n-back working-memory task,1,1,1479,311,1790,TRUE,0.82,0.91,0.78,0.65,,,,
deepseek_ia_strict_20260603T045355Z,35048661-6d3b-495f-8646-a2fc0876336d,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:05.556574+00:00,IA_individual_plus_label_S0001_nback,c07dfa915a36,individual_prediction,,,,,,,,,nback,n-back working-memory task,2,2,1479,311,1790,TRUE,0.76,0.88,0.72,0.58,,,,
deepseek_ia_strict_20260603T045355Z,35048661-6d3b-495f-8646-a2fc0876336d,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:05.556574+00:00,IA_individual_plus_label_S0001_nback,c07dfa915a36,individual_prediction,,,,,,,,,nback,n-back working-memory task,3,3,1479,311,1790,TRUE,0.84,0.93,0.81,0.68,,,,
deepseek_ia_strict_20260603T045355Z,35048661-6d3b-495f-8646-a2fc0876336d,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:05.556574+00:00,IA_individual_plus_label_S0001_nback,c07dfa915a36,individual_prediction,,,,,,,,,nback,n-back working-memory task,4,4,1479,311,1790,TRUE,0.79,0.89,0.75,0.62,,,,
deepseek_ia_strict_20260603T045355Z,35048661-6d3b-495f-8646-a2fc0876336d,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:05.556574+00:00,IA_individual_plus_label_S0001_nback,c07dfa915a36,individual_prediction,,,,,,,,,nback,n-back working-memory task,5,5,1479,311,1790,TRUE,0.81,0.92,0.77,0.64,,,,
deepseek_ia_strict_20260603T045355Z,18bdca66-52fe-40a2-95f2-dccab7eba2bb,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:14.264475+00:00,IA_individual_plus_label_S0001_bart,71ff006e366b,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,1,1,1473,319,1792,TRUE,,,,,28.5,12,32,0.45
deepseek_ia_strict_20260603T045355Z,18bdca66-52fe-40a2-95f2-dccab7eba2bb,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:14.264475+00:00,IA_individual_plus_label_S0001_bart,71ff006e366b,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,2,2,1473,319,1792,TRUE,,,,,35.2,8,40.1,0.6
deepseek_ia_strict_20260603T045355Z,18bdca66-52fe-40a2-95f2-dccab7eba2bb,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:14.264475+00:00,IA_individual_plus_label_S0001_bart,71ff006e366b,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,3,3,1473,319,1792,TRUE,,,,,22.7,15,25.3,0.3
deepseek_ia_strict_20260603T045355Z,18bdca66-52fe-40a2-95f2-dccab7eba2bb,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:14.264475+00:00,IA_individual_plus_label_S0001_bart,71ff006e366b,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,4,4,1473,319,1792,TRUE,,,,,45.8,5,50.2,0.75
deepseek_ia_strict_20260603T045355Z,18bdca66-52fe-40a2-95f2-dccab7eba2bb,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:14.264475+00:00,IA_individual_plus_label_S0001_bart,71ff006e366b,individual_prediction,,,,,,,,,bart,Balloon Analogue Risk Task,5,5,1473,319,1792,TRUE,,,,,18.3,20,20.5,0.25
