run_id,call_id,batch_id,timestamp_utc,provider,model,temperature,prompt_index,prompt_hash,prompt_id,ablation_condition,condition_name,profile_id,task_id,task_code,repeat_id,sample_in_call,success,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,adjusted_average_pumps,total_earnings,explosion_count,risk_preference_0_1,discounting_k,log_discounting_k,immediate_choice_proportion,caars_total,cias_total,young_total,dsm_total1,dsm_total2
qwen_deepseek-v4-pro_20260526T044814Z,04e87321-7484-4344-be8c-ba64b38ee1a6,b9ab87de-139c-4a3a-8699-d8f1b085760e,2026-05-26T04:48:22.039135+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,1,1,TRUE,0.95,650,120,150,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,04e87321-7484-4344-be8c-ba64b38ee1a6,b9ab87de-139c-4a3a-8699-d8f1b085760e,2026-05-26T04:48:22.039135+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,2,2,TRUE,0.93,670,110,140,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,04e87321-7484-4344-be8c-ba64b38ee1a6,b9ab87de-139c-4a3a-8699-d8f1b085760e,2026-05-26T04:48:22.039135+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,3,3,TRUE,0.94,660,115,145,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,04e87321-7484-4344-be8c-ba64b38ee1a6,b9ab87de-139c-4a3a-8699-d8f1b085760e,2026-05-26T04:48:22.039135+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,4,4,TRUE,0.96,640,125,155,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,04e87321-7484-4344-be8c-ba64b38ee1a6,b9ab87de-139c-4a3a-8699-d8f1b085760e,2026-05-26T04:48:22.039135+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,5,5,TRUE,0.94,655,118,148,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d8bcb6b9-3422-4d35-886a-f2ee2d05e007,4e4e4d24-b177-4501-a0c3-bb87b9400468,2026-05-26T04:48:30.551251+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,6,1,TRUE,0.95,650,120,150,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d8bcb6b9-3422-4d35-886a-f2ee2d05e007,4e4e4d24-b177-4501-a0c3-bb87b9400468,2026-05-26T04:48:30.551251+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,7,2,TRUE,0.93,670,110,140,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d8bcb6b9-3422-4d35-886a-f2ee2d05e007,4e4e4d24-b177-4501-a0c3-bb87b9400468,2026-05-26T04:48:30.551251+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,8,3,TRUE,0.94,660,115,145,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d8bcb6b9-3422-4d35-886a-f2ee2d05e007,4e4e4d24-b177-4501-a0c3-bb87b9400468,2026-05-26T04:48:30.551251+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,9,4,TRUE,0.96,640,125,155,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d8bcb6b9-3422-4d35-886a-f2ee2d05e007,4e4e4d24-b177-4501-a0c3-bb87b9400468,2026-05-26T04:48:30.551251+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,10,5,TRUE,0.92,680,105,135,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d152fd15-dd7c-4608-8d26-d7eb1b37030e,0cb39350-7c8b-4a47-a984-e4fad1e49cce,2026-05-26T04:48:38.709429+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,11,1,TRUE,0.95,650,120,150,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d152fd15-dd7c-4608-8d26-d7eb1b37030e,0cb39350-7c8b-4a47-a984-e4fad1e49cce,2026-05-26T04:48:38.709429+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,12,2,TRUE,0.93,670,110,140,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d152fd15-dd7c-4608-8d26-d7eb1b37030e,0cb39350-7c8b-4a47-a984-e4fad1e49cce,2026-05-26T04:48:38.709429+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,13,3,TRUE,0.94,660,115,145,,,,,,,,,,,,,,,,
qwen_deepseek-v4-pro_20260526T044814Z,d152fd15-dd7c-4608-8d26-d7eb1b37030e,0cb39350-7c8b-4a47-a984-e4fad1e49cce,2026-05-26T04:48:38.709429+00:00,qwen,deepseek-v4-pro,0.7,1,a165803f14df3977,A_label_only__P1_low_ADHD_low_IA__stroop,A_label_only,label-only,P1_low_ADHD_low_IA,stroop,T1_stroop,14,4,TRUE,0.96,640,125,155,,,,,,,,,,,,,,,,
