run_id,call_id,batch_id,provider,model,temperature,prompt_id,repeat_id,sample_in_call,timestamp_utc,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,participant_uid,feature_condition,task_id,task_name,prompt_hash,input_tokens,output_tokens,accuracy,mean_rt_ms,rt_sd_ms,interference_effect_ms
IA_qwen_deepseek-v4pro_20260602T070350Z,a771aaba-ff59-422c-a648-c7344cfa60ac,1,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,1,1,2026-06-02T07:03:55.941394+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,271,-2,730,110,95
IA_qwen_deepseek-v4pro_20260602T070350Z,a771aaba-ff59-422c-a648-c7344cfa60ac,1,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,2,2,2026-06-02T07:03:55.941394+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,271,-0.1,710,105,85
IA_qwen_deepseek-v4pro_20260602T070350Z,a771aaba-ff59-422c-a648-c7344cfa60ac,1,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,3,3,2026-06-02T07:03:55.941394+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,271,-1.5,745,14,102
IA_qwen_deepseek-v4pro_20260602T070350Z,a771aaba-ff59-422c-a648-c7344cfa60ac,1,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,4,4,2026-06-02T07:03:55.941394+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,271,-0.5,722,108,89
IA_qwen_deepseek-v4pro_20260602T070350Z,a771aaba-ff59-422c-a648-c7344cfa60ac,1,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,5,5,2026-06-02T07:03:55.941394+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,271,-1,735,112,98
IA_qwen_deepseek-v4pro_20260602T070350Z,9cb826f5-f7f0-428e-9478-83bc76aa571f,2,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,6,1,2026-06-02T07:04:02.672745+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,268,-2.5,650,173,85
IA_qwen_deepseek-v4pro_20260602T070350Z,9cb826f5-f7f0-428e-9478-83bc76aa571f,2,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,7,2,2026-06-02T07:04:02.672745+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,268,3.1,620,150,78
IA_qwen_deepseek-v4pro_20260602T070350Z,9cb826f5-f7f0-428e-9478-83bc76aa571f,2,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,8,3,2026-06-02T07:04:02.672745+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,268,-1.8,640,165,92
IA_qwen_deepseek-v4pro_20260602T070350Z,9cb826f5-f7f0-428e-9478-83bc76aa571f,2,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,9,4,2026-06-02T07:04:02.672745+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,268,0.5,635,155,81
IA_qwen_deepseek-v4pro_20260602T070350Z,9cb826f5-f7f0-428e-9478-83bc76aa571f,2,qwen,deepseek-v4pro,0.7,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_stroop,10,5,2026-06-02T07:04:02.674249+00:00,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,,,stroop,Stroop color-word task,8c8408017fe4,402,268,2.2,676,180,88
