run_id,call_id,batch_id,provider,model,temperature,timestamp_utc,prompt_id,prompt_hash,experiment_type,condition_id,condition_name,label_cue,score_cue,symptom_cue,profile_id,profile_short,ia_like_profile,task_id,task_name,repeat_id,sample_in_call,input_tokens,output_tokens,total_tokens,range_valid,overall_accuracy,accuracy_1back,accuracy_2back,accuracy_3back,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,7fdcb5fd-645b-4cc7-9520-b00686c1f669,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.682960+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,1,1,1394,887,2281,TRUE,0.89,0.95,0.87,0.78,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,7fdcb5fd-645b-4cc7-9520-b00686c1f669,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.682960+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,2,2,1394,887,2281,TRUE,0.85,0.93,0.84,0.73,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,7fdcb5fd-645b-4cc7-9520-b00686c1f669,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.682960+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,3,3,1394,887,2281,TRUE,0.91,0.96,0.88,0.82,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,7fdcb5fd-645b-4cc7-9520-b00686c1f669,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.682960+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,4,4,1394,887,2281,TRUE,0.87,0.94,0.85,0.76,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,7fdcb5fd-645b-4cc7-9520-b00686c1f669,1,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:38.682960+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,5,5,1394,887,2281,TRUE,0.83,0.91,0.82,0.71,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,1b1da106-14dc-4564-940d-8992a0db0585,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:42.680396+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,6,1,1394,436,1830,TRUE,0.83,0.95,0.85,0.72,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,1b1da106-14dc-4564-940d-8992a0db0585,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:42.680396+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,7,2,1394,436,1830,TRUE,0.79,0.92,0.8,0.66,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,1b1da106-14dc-4564-940d-8992a0db0585,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:42.680396+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,8,3,1394,436,1830,TRUE,0.86,0.97,0.87,0.74,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,1b1da106-14dc-4564-940d-8992a0db0585,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:42.680396+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,9,4,1394,436,1830,TRUE,0.8,0.93,0.82,0.69,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,1b1da106-14dc-4564-940d-8992a0db0585,2,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:42.680396+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,10,5,1394,436,1830,TRUE,0.77,0.9,0.78,0.63,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,b203db84-069d-4890-9337-6d8c8088df53,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:48.049862+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,11,1,1394,464,1858,TRUE,0.86,0.94,0.85,0.78,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,b203db84-069d-4890-9337-6d8c8088df53,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:48.049862+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,12,2,1394,464,1858,TRUE,0.82,0.91,0.81,0.73,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,b203db84-069d-4890-9337-6d8c8088df53,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:48.049862+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,13,3,1394,464,1858,TRUE,0.88,0.96,0.87,0.8,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,b203db84-069d-4890-9337-6d8c8088df53,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:48.049862+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,14,4,1394,464,1858,TRUE,0.84,0.93,0.83,0.76,,,,,,,,,,,,,,,,,,,,
deepseek_ia_strict_20260603T045432Z,b203db84-069d-4890-9337-6d8c8088df53,3,deepseek,deepseek-v4pro,0.7,2026-06-03T04:54:48.049862+00:00,IA_cue_competition_C000_no_cue_P1_low_PDU_low_ATT_nback,93476ecd8fad,cue_competition,C000_no_cue,no-cue,0,0,0,P1_low_PDU_low_ATT,low PDU / low attention difficulties,0,nback,n-back working-memory task,15,5,1394,464,1858,TRUE,0.79,0.88,0.78,0.71,,,,,,,,,,,,,,,,,,,,
