run_id,call_id,model,temperature,profile_id,task_id,repeat_id,prompt_index,prompt_hash,timestamp_utc,ok,parse_success,validation_success,error,elapsed_seconds
openai_20260521T084216Z,2c375d42-7b6c-40b8-a600-ebdddada9085,gpt-5.5,0.7,P2_high_inattention,questionnaire,15,10,cc4caf5b9c32,2026-05-21T09:13:29.661928+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.22211050987243652
openai_20260521T084216Z,373b84a3-5815-4175-a5eb-060f192ff944,gpt-5.5,0.7,P3_combined_ADHD,stroop,15,11,27771d10357c,2026-05-21T09:13:30.086901+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.3537750244140625
openai_20260521T084216Z,725042b0-34f2-47fe-8f6d-5b9d1eacd0af,gpt-5.5,0.7,P3_combined_ADHD,nback,15,12,1a799f2c3599,2026-05-21T09:13:30.641855+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.1730804443359375
openai_20260521T084216Z,940ab58c-edca-413f-aa16-27e8991ba061,gpt-5.5,0.7,P3_combined_ADHD,bart,15,13,4bfd378a6d0e,2026-05-21T09:13:31.017994+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.20273637771606445
openai_20260521T084216Z,64344a77-049d-43c7-9b24-4a8bd7a3036d,gpt-5.5,0.7,P3_combined_ADHD,ddt,15,14,b33dd30b8d1a,2026-05-21T09:13:31.423448+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.45209574699401855
openai_20260521T084216Z,13a1172a-857e-42bf-bb4c-28aec9b6b9b7,gpt-5.5,0.7,P3_combined_ADHD,questionnaire,15,15,228f8e2c9b1d,2026-05-21T09:13:32.076993+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.1148526668548584
openai_20260521T084216Z,4ed5c4d1-57d5-4e0c-9931-cf703f179f1a,gpt-5.5,0.7,P4_ADHD_high_IA,stroop,15,16,86ad25735c85,2026-05-21T09:13:32.393167+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.11865925788879395
openai_20260521T084216Z,f052f242-274e-4f1b-a6a9-05177edb6ee4,gpt-5.5,0.7,P4_ADHD_high_IA,nback,15,17,e084d00754e7,2026-05-21T09:13:32.713911+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.11594605445861816
openai_20260521T084216Z,4edfbc19-8b4e-47e3-95d4-934073583902,gpt-5.5,0.7,P4_ADHD_high_IA,bart,15,18,3ad0ac5f81d4,2026-05-21T09:13:33.031332+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.12588882446289062
openai_20260521T084216Z,6e5e44ab-9593-4159-9775-95a16d807f88,gpt-5.5,0.7,P4_ADHD_high_IA,ddt,15,19,5a26b73a4099,2026-05-21T09:13:33.360246+00:00,False,False,False,"APIStatusError: Error code: 402 - {'error': {'message': '租户资金不足', 'type': 'upstream_error', 'param': '', 'code': 'billing_insufficient'}}",0.11422967910766602
