run_id,call_id,model,temperature,profile_id,task_id,repeat_id,prompt_index,prompt_hash,timestamp_utc,ok,parse_success,validation_success,parsed_output,validation_errors,response_text,usage,elapsed_seconds,error
claude_20260520T081451Z,507fdd22-80ca-47a7-86f2-5fa904108254,claude-opus-4-7,0.7,P3_combined_ADHD,questionnaire,2,15,228f8e2c9b1d,2026-05-20T08:17:46.608087+00:00,True,True,False,"{'input': {'caars_total': 52, 'cias_total': 64, 'young_total': 4, 'dsm_total1': 5, 'dsm_total2': 6}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'caars_total' is a required property"", ""<root>: 'cias_total' is a required property"", ""<root>: 'young_total' is a required property"", ""<root>: 'dsm_total1' is a required property"", ""<root>: 'dsm_total2' is a required property""]",,"{'input_tokens': 1624, 'output_tokens': 113}",3.521841526031494,
claude_20260520T081451Z,f27db6f1-eeb9-484d-a020-cdc65919174e,claude-opus-4-7,0.7,P5_high_IA_low_ADHD,questionnaire,2,25,7819a3eaf918,2026-05-20T08:18:30.663805+00:00,True,True,False,"{'input': {'caars_total': 22, 'cias_total': 78, 'young_total': 6, 'dsm_total1': 6, 'dsm_total2': 9}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'caars_total' is a required property"", ""<root>: 'cias_total' is a required property"", ""<root>: 'young_total' is a required property"", ""<root>: 'dsm_total1' is a required property"", ""<root>: 'dsm_total2' is a required property""]",,"{'input_tokens': 1627, 'output_tokens': 113}",3.5193233489990234,
claude_20260520T081451Z,6a581d7f-e38b-4c26-8c16-70da90076740,claude-opus-4-7,0.7,P1_low_ADHD_low_IA,bart,6,3,00e9a34112ef,2026-05-20T08:25:10.182959+00:00,True,True,False,"{'input': {'adjusted_average_pumps': 36.5, 'total_earnings': 38.2, 'explosion_count': 11, 'risk_preference_0_1': 0.55}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'adjusted_average_pumps' is a required property"", ""<root>: 'total_earnings' is a required property"", ""<root>: 'explosion_count' is a required property"", ""<root>: 'risk_preference_0_1' is a required property""]",,"{'input_tokens': 1622, 'output_tokens': 120}",8.86915397644043,
claude_20260520T081451Z,c9b021fc-5755-481e-9c64-f20851c28577,claude-opus-4-7,0.7,P2_high_inattention,ddt,6,9,e8ba53856771,2026-05-20T08:25:45.036359+00:00,False,False,False,,,,,28.89285969734192,APIConnectionError: Connection error.
claude_20260520T081451Z,8bab6b73-52eb-413a-9ec7-be2057e56c74,claude-opus-4-7,0.7,P4_ADHD_high_IA,nback,6,17,e084d00754e7,2026-05-20T08:27:53.200202+00:00,True,True,False,"{'input': {'overall_accuracy': 0.78, 'accuracy_1back': 0.94, 'accuracy_2back': 0.81, 'accuracy_3back': 0.62, 'mean_rt_ms': 685}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'overall_accuracy' is a required property"", ""<root>: 'accuracy_1back' is a required property"", ""<root>: 'accuracy_2back' is a required property"", ""<root>: 'accuracy_3back' is a required property"", ""<root>: 'mean_rt_ms' is a required property""]",,"{'input_tokens': 1650, 'output_tokens': 134}",3.571316719055176,
claude_20260520T081451Z,98bcbf0b-be16-4b0f-84c4-06cad7d68b7e,claude-opus-4-7,0.7,P5_high_IA_low_ADHD,bart,6,23,423d400ef891,2026-05-20T08:28:55.113261+00:00,True,True,False,{},"[""<root>: 'adjusted_average_pumps' is a required property"", ""<root>: 'total_earnings' is a required property"", ""<root>: 'explosion_count' is a required property"", ""<root>: 'risk_preference_0_1' is a required property""]",,"{'input_tokens': 1609, 'output_tokens': 114}",7.278833389282227,
claude_20260520T081451Z,cc26c063-9c69-47f3-8d1b-39b8b02e65c9,claude-opus-4-7,0.7,P3_combined_ADHD,bart,8,13,4bfd378a6d0e,2026-05-20T08:37:51.520753+00:00,True,True,False,{},"[""<root>: 'adjusted_average_pumps' is a required property"", ""<root>: 'total_earnings' is a required property"", ""<root>: 'explosion_count' is a required property"", ""<root>: 'risk_preference_0_1' is a required property""]",,"{'input_tokens': 1606, 'output_tokens': 167}",4.6481592655181885,
claude_20260520T081451Z,9d541755-c5e2-45d3-94b6-deaa24ebc8b9,claude-opus-4-7,0.7,P3_combined_ADHD,questionnaire,9,15,228f8e2c9b1d,2026-05-20T08:42:49.008798+00:00,True,True,False,"{'input': {'caars_total': 58, 'cias_total': 64, 'young_total': 5, 'dsm_total1': 5, 'dsm_total2': 7}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'caars_total' is a required property"", ""<root>: 'cias_total' is a required property"", ""<root>: 'young_total' is a required property"", ""<root>: 'dsm_total1' is a required property"", ""<root>: 'dsm_total2' is a required property""]",,"{'input_tokens': 1624, 'output_tokens': 113}",3.706237316131592,
claude_20260520T081451Z,4d6d8f77-dbe3-43b1-aca7-2b1130411976,claude-opus-4-7,0.7,P1_low_ADHD_low_IA,nback,11,2,bf296c6521d9,2026-05-20T08:47:33.799259+00:00,True,True,False,"{'input': {'overall_accuracy': 0.88, 'accuracy_1back': 0.96, 'accuracy_2back': 0.89, 'accuracy_3back': 0.76, 'mean_rt_ms': 620}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'overall_accuracy' is a required property"", ""<root>: 'accuracy_1back' is a required property"", ""<root>: 'accuracy_2back' is a required property"", ""<root>: 'accuracy_3back' is a required property"", ""<root>: 'mean_rt_ms' is a required property""]",,"{'input_tokens': 1656, 'output_tokens': 134}",3.4773197174072266,
claude_20260520T081451Z,0a0c61ce-3784-4007-9d6f-f35331f8a9d0,claude-opus-4-7,0.7,P3_combined_ADHD,questionnaire,11,15,228f8e2c9b1d,2026-05-20T08:48:28.456172+00:00,True,True,False,"{'input': {'caars_total': 52, 'cias_total': 62, 'young_total': 4, 'dsm_total1': 4, 'dsm_total2': 6}}","[""<root>: Additional properties are not allowed ('input' was unexpected)"", ""<root>: 'caars_total' is a required property"", ""<root>: 'cias_total' is a required property"", ""<root>: 'young_total' is a required property"", ""<root>: 'dsm_total1' is a required property"", ""<root>: 'dsm_total2' is a required property""]",,"{'input_tokens': 1624, 'output_tokens': 113}",4.076348304748535,
